,YEAR,EIND,TATM,iter,orig_sol,sim_ssp,sim_damages,sim_ecs
196,2125,-0.40104645343052003,1.4014507176,3,Welfare,1,4,2.500000
197,2130,-0.50859982889926,1.3937547457,3,Welfare,1,4,2.500000
198,2135,-0.5528588631282193,1.3861218585,3,Welfare,1,4,2.500000
199,2140,-0.58320882466644,1.3785894008,3,Welfare,1,4,2.500000
200,2145,-0.61102429185663,1.3713366408,3,Welfare,1,4,2.500000
201,2150,-0.6362606358469199,1.3643690722,3,Welfare,1,4,2.500000
202,2155,-0.6488557365016601,1.3576299981,3,Welfare,1,4,2.500000
203,2160,-0.659072997668338,1.3510676427,3,Welfare,1,4,2.500000
204,2165,-0.6656886342249618,1.3446818819,3,Welfare,1,4,2.500000
205,2170,-0.6679181132994899,1.3384450822,3,Welfare,1,4,2.500000
206,2175,-0.66481789803575,1.3323358034,3,Welfare,1,4,2.500000
207,2180,-0.6557519747966398,1.3263414173,3,Welfare,1,4,2.500000
208,2185,-0.6404844851512799,1.3204577779,3,Welfare,1,4,2.500000
209,2190,-0.6192160120073399,1.3146869286,3,Welfare,1,4,2.500000
210,2195,-0.5893454388798801,1.3090345489,3,Welfare,1,4,2.500000
211,2200,-0.51501187470546,1.3035075398,3,Welfare,1,4,2.500000
212,2205,-0.43163308738267997,1.2981248095,3,Welfare,1,4,2.500000
213,2210,-0.35253907297268994,1.2930514424,3,Welfare,1,4,2.500000
214,2215,-0.27701535613032,1.2883224408,3,Welfare,1,4,2.500000
215,2220,-0.20430262265368995,1.2838998447,3,Welfare,1,4,2.500000
216,2225,-0.13524875936827,1.2797454857,3,Welfare,1,4,2.500000
217,2230,-0.06986457369431001,1.2758311237,3,Welfare,1,4,2.500000
218,2235,-0.0072269344255700045,1.2721308691,3,Welfare,1,4,2.500000
219,2240,0.05360744765646,1.2686220575,3,Welfare,1,4,2.500000
220,2245,0.11337160638000399,1.2652883032,3,Welfare,1,4,2.500000
221,2250,0.17346121421123,1.2621191944,3,Welfare,1,4,2.500000
222,2255,0.23501193228457998,1.2591087493,3,Welfare,1,4,2.500000
223,2260,0.29963675809960993,1.2562575084,3,Welfare,1,4,2.500000
224,2265,0.36961848206758,1.2535713718,3,Welfare,1,4,2.500000
225,2270,0.44864823811745697,1.2510630793,3,Welfare,1,4,2.500000
226,2275,0.5430482319223688,1.2487548309,3,Welfare,1,4,2.500000
227,2280,0.66568143827266,1.2466839226,3,Welfare,1,4,2.500000
228,2285,0.8530077938833229,1.2449134556,3,Welfare,1,4,2.500000
229,2290,1.3379745838276438,1.2435590343,3,Welfare,1,4,2.500000
230,2295,1.4102688559228302,1.2428855338,3,Welfare,1,4,2.500000
231,2300,1.3810396148795294,1.2441115867,3,Welfare,1,4,2.500000
232,2015,34.942094457051,0.85,4,Inequality,1,1,2.500000
233,2020,34.980578784744004,1.1181170528,4,Inequality,1,1,2.500000
234,2025,29.125253676003393,1.2609766632,4,Inequality,1,1,2.500000
235,2030,22.78747651024531,1.3689687179,4,Inequality,1,1,2.500000
236,2035,15.807100226777896,1.4444567321,4,Inequality,1,1,2.500000
237,2040,9.3859173337349,1.4917727409,4,Inequality,1,1,2.500000
